,precision,recall,f1-score,support
0,0.816142220434972,0.883946718931475,0.8486923492411966,55104.0
1,0.886733970952887,0.8202267439955437,0.8521847180377539,61038.0
accuracy,0.8504589209760466,0.8504589209760466,0.8504589209760466,0.8504589209760466
macro avg,0.8514380956939295,0.8520867314635094,0.8504385336394753,116142.0
weighted avg,0.8532414547181123,0.8504589209760466,0.8505277507893383,116142.0
split_strategy,group_scene_split,group_scene_split,group_scene_split,group_scene_split
decision_threshold,0.5,0.5,0.5,0.5
class_weight,none,none,none,none
regularization_c,1.0,1.0,1.0,1.0
train_patches,345512,345512,345512,345512
test_patches,116142,116142,116142,116142
